phrase,intent
please begin db browser,open_app
start control panel please,open_app
please load task scheduler,open_app
please open task manager,open_app
please start ms excel,open_app
please begin task scheduler,open_app
start ms excel please,open_app
load notepad please,open_app
start task manager,open_app
please begin calculator,open_app
load settings,open_app
begin control panel please,open_app
open github desktop,open_app
load fork,open_app
start zoom please,open_app
please load notepad,open_app
please begin zoom,open_app
todo list,show_todo_list
get to-do,show_todo_list
please show my to-do for today,show_todo_list
todays to-do list please,show_todo_list
please show my todo list for today,show_todo_list
get tasks please,show_todo_list
what is on my tasks for today?,show_todo_list
todays todo list,show_todo_list
get to-do list,show_todo_list
show task list,show_todo_list
tasks,show_todo_list
what is on my todo-list please,show_todo_list
any todos left?,show_todo_list
do i have any tasks,show_todo_list
do i have any tasks left today,show_todo_list
get todays todo-list,show_todo_list
any todos left,show_todo_list
what is on my todos for today,show_todo_list
show my task list for today please,show_todo_list
what is on my task list,show_todo_list
please show my to-do,show_todo_list
show my task list please,show_todo_list
get task list,show_todo_list
get todays to-do,show_todo_list
what is on my to-do list,show_todo_list
what is on my task list please?,show_todo_list
todos please,show_todo_list
get todo list,show_todo_list
show my todos,show_todo_list
please show my task list,show_todo_list
get todos,show_todo_list
to-do list please,show_todo_list
todo-list,show_todo_list
todays todos,show_todo_list
show my todo-list please,show_todo_list
todays todos please,show_todo_list
get tasks,show_todo_list
get todays to-do list,show_todo_list
show tasks please,show_todo_list
show my to-do list,show_todo_list
task list,show_todo_list
please show my todo-list,show_todo_list
show my todo list for today,show_todo_list
any tasks left today,show_todo_list
what is on my to-do list for today?,show_todo_list
what is on my to-do list please?,show_todo_list
show my tasks for today,show_todo_list
todays to-do,show_todo_list
show my task list for today,show_todo_list
what is on my to-do,show_todo_list
what is on my todos for today?,show_todo_list
please show my to-do list,show_todo_list
what is on my todos,show_todo_list
get todays todo list,show_todo_list
get todo-list please,show_todo_list
show tasks,show_todo_list
todo list please,show_todo_list
show my tasks please,show_todo_list
what is on my to-do list for today,show_todo_list
show my todo list for today please,show_todo_list
show my tasks,show_todo_list
show my to-do,show_todo_list
what is on my todo-list for today?,show_todo_list
please show my tasks,show_todo_list
what is on my task list for today?,show_todo_list
todo-list please,show_todo_list
get to-do please,show_todo_list
todays todo list please,show_todo_list
show todos,show_todo_list
get to-do list please,show_todo_list
what is on my todo list,show_todo_list
get todays tasks,show_todo_list
todays task list,show_todo_list
what is on my todo list please?,show_todo_list
show todo-list please,show_todo_list
what is on my todos please?,show_todo_list
todays tasks please,show_todo_list
what is on my to-do list please,show_todo_list
what is on my tasks please?,show_todo_list
show todos please,show_todo_list
what is on my task list for today,show_todo_list
todos,show_todo_list
show my to-do list for today please,show_todo_list
show my todo-list for today please,show_todo_list
show my todo list please,show_todo_list
show todo list please,show_todo_list
what is on my tasks please,show_todo_list
task list please,show_todo_list
show to-do please,show_todo_list
what is on my todo-list please?,show_todo_list
what is on my tasks,show_todo_list
get todays task list,show_todo_list
show my todo list,show_todo_list
get todo-list,show_todo_list
what is on my todos please,show_todo_list
show my todos for today,show_todo_list
what is on my to-do for today?,show_todo_list
show my to-do for today,show_todo_list
show my todo-list for today,show_todo_list
will there be overcast tomorrow,tomorrow_weather
will there be rain tomorrow,tomorrow_weather
tomorrow weather please,tomorrow_weather
"weather in swiss alps, switzerland tomorrow please",tomorrow_weather
weather tomorrow,tomorrow_weather
"weather tomorrow in marrakech, morocco please",tomorrow_weather
"weather in marrakech, morocco tomorrow",tomorrow_weather
get weather tomorrow,tomorrow_weather
what will tomorrows weather be like?,tomorrow_weather
what will tomorrows weather be in paris,tomorrow_weather
will it drizzle tomorrow,tomorrow_weather
weather tomorrow please,tomorrow_weather
"weather in santorini, greece tomorrow please",tomorrow_weather
get tomorrows weather please,tomorrow_weather
get tomorrows weather,tomorrow_weather
"weather in petra, jordan tomorrow",tomorrow_weather
will there be rainy tomorrow,tomorrow_weather
tomorrow weather,tomorrow_weather
"weather tomorrow in rome, italy",tomorrow_weather
"weather tomorrow in patagonia, argentina",tomorrow_weather
what will tomorrows weather be,tomorrow_weather
"weather tomorrow in bali, indonesia",tomorrow_weather
what will tomorrows weather be please,tomorrow_weather
tomorrows weather please,tomorrow_weather
get weather tomorrow please,tomorrow_weather
tomorrows weather,tomorrow_weather
will there be showers tomorrow?,tomorrow_weather
will there be thunder tomorrow?,tomorrow_weather
will it shower tomorrow,tomorrow_weather
will there be showers tomorrow,tomorrow_weather
what will tomorrows weather be in new zealand please,tomorrow_weather
will tomorrow's weather be rainy,tomorrow_weather
weather in spain tomorrow please,tomorrow_weather
will tomorrow's weather be snow,tomorrow_weather
"weather in barcelona, spain tomorrow please",tomorrow_weather
weather in london tomorrow,tomorrow_weather
"weather in yosemite national park, united states tomorrow",tomorrow_weather
will it be thunder tomorrow,tomorrow_weather
"tomorrows weather in amsterdam, netherlands",tomorrow_weather
will it be thunder tomorrow?,tomorrow_weather
"weather in dubai, united arab emirates tomorrow please",tomorrow_weather
will tomorrow's weather be thunder,tomorrow_weather
will it drizzle tomorrow?,tomorrow_weather
"weather in alaska, united states tomorrow",tomorrow_weather
will it snow tomorrow?,tomorrow_weather
will it be overcast tomorrow?,tomorrow_weather
"what will tomorrows weather be in petra, jordan",tomorrow_weather
"weather tomorrow in santorini, greece",tomorrow_weather
"weather in scottish highlands, scotland tomorrow please",tomorrow_weather
"weather tomorrow in barcelona, spain please",tomorrow_weather
weather tomorrow in las vegas,tomorrow_weather
will it be sunny tomorrow?,tomorrow_weather
will there be snow tomorrow?,tomorrow_weather
"weather in rome, italy tomorrow",tomorrow_weather
will there be hail tomorrow,tomorrow_weather
tomorrows weather in singapore,tomorrow_weather
weather in new zealand tomorrow please,tomorrow_weather
what will tomorrows weather be in spain please,tomorrow_weather
"weather tomorrow in berlin, germany",tomorrow_weather
will it thunder tomorrow,tomorrow_weather
weather in fiji tomorrow please,tomorrow_weather
"tomorrows weather in scottish highlands, scotland",tomorrow_weather
"tomorrows weather in taj mahal, india",tomorrow_weather
will tomorrow's weather be sunny,tomorrow_weather
"what will tomorrows weather be in marrakech, morocco please",tomorrow_weather
will it hail tomorrow?,tomorrow_weather
"what will tomorrows weather be in bora bora, french polynesia",tomorrow_weather
weather in maldives tomorrow please,tomorrow_weather
will it be showers tomorrow,tomorrow_weather
weather in fiji tomorrow,tomorrow_weather
will it thunder tomorrow?,tomorrow_weather
will it shower tomorrow?,tomorrow_weather
will it be rain tomorrow,tomorrow_weather
will it be a heatwave tomorrow,tomorrow_weather
"weather tomorrow in tokyo, japan please",tomorrow_weather
"tomorrows weather in machu picchu, peru",tomorrow_weather
will it hail tomorrow,tomorrow_weather
"weather in budapest, hungary tomorrow please",tomorrow_weather
"what will tomorrows weather be in hawaii, united states",tomorrow_weather
what will tomorrows weather be like,tomorrow_weather
"weather in barcelona, spain tomorrow",tomorrow_weather
"weather tomorrow in hawaii, united states please",tomorrow_weather
will it be sunny tomorrow,tomorrow_weather
"what will tomorrows weather be in dubai, united arab emirates please",tomorrow_weather
tomorrows weather in las vegas please,tomorrow_weather
"weather in scottish highlands, scotland tomorrow",tomorrow_weather
"what will tomorrows weather be in prague, czech republic please",tomorrow_weather
will it be snow tomorrow?,tomorrow_weather
weather in london tomorrow please,tomorrow_weather
will it be rain tomorrow?,tomorrow_weather
tomorrows weather in fiji,tomorrow_weather
"weather in bora bora, french polynesia tomorrow please",tomorrow_weather
will it be rainy tomorrow?,tomorrow_weather
will there be thunder tomorrow,tomorrow_weather
weather tomorrow in new zealand please,tomorrow_weather
"weather in dubai, united arab emirates tomorrow",tomorrow_weather
"tomorrows weather in amsterdam, netherlands please",tomorrow_weather
"what will tomorrows weather be in scottish highlands, scotland please",tomorrow_weather
weather tomorrow in london,tomorrow_weather
